Rank,Building[A],Height
1,Burj Khalifa,828 
2,Shanghai Tower,632 
3,Abraj Al-Bait Clock Tower,601 
4,Ping An Finance Centre,599 
5,Lotte World Tower,554.5 
6,One World Trade Center,541.3 
7,Guangzhou CTF Finance Centre,530 
7,Tianjin CTF Finance Centre,530 
9,China Zun,528 
10,Taipei 101,508 
11,Shanghai World Financial Center,492 
12,International Commerce Centre,484
13,Lakhta Center[14],462
14,Landmark 81,461.2
15,Changsha IFS Tower T1,452.1 
16,Petronas Tower 1,451.9 
16,Petronas Tower 2,451.9 
16,The Exchange 106,451.9 
19,Zifeng Tower,450 
19,Suzhou IFS,450
21,Willis Tower (formerly the Sears Tower),442.1 
22,KK100,442
23,Guangzhou International Finance Center,440 
24,Wuhan Center,438
25,432 Park Avenue,425.5
26,Marina 101,425
27,Trump International Hotel and Tower[15],423.2
28,Jin Mao Tower,421
29,Princess Tower,414
